pdb	RMSD_orig	RMSD_alt	pLDDT
1KNGA_001_1.pdb	8.248	6.363	46.995
3GL5_086_1.pdb	9.788	11.815	85.606
1KNGA_044_1.pdb	9.512	12.559	49.414
3IOSA_077_1.pdb	1.018	1.910	84.177
3KCMA_186_1.pdb	5.595	6.578	59.177
3IOSA_032_1.pdb	0.828	1.848	83.954
6MZA_063_1.pdb	0.645	0.481	80.775
6MZA_026_1.pdb	0.689	0.506	79.896
1KNGA_159_1.pdb	2.254	7.886	58.510
3U5RE_014_1.pdb	1.322	6.495	82.924
2LS5A_002_1.pdb	2.842	9.357	61.098
3C71A_097_1.pdb	13.348	9.434	63.698
3U5RE_051_1.pdb	1.651	5.825	69.203
2LS5A_047_1.pdb	1.400	8.699	74.991
3PH9_022_1.pdb	8.543	9.237	74.621
4EUY_122_1.pdb	5.313	5.263	71.069
4EUY_167_1.pdb	4.096	4.069	48.986
4NMUD_007_1.pdb	1.499	3.329	82.031
3KCMA_066_1.pdb	4.254	3.481	67.082
3KCMA_023_1.pdb	2.926	4.533	88.944
4NMUD_042_1.pdb	1.460	4.444	84.748
3GL3D_129_1.pdb	5.296	8.125	48.539
6MZA_183_1.pdb	0.645	0.478	79.399
3GL5_123_1.pdb	10.015	11.799	85.457
3GL5_166_1.pdb	11.346	12.594	60.163
3GL3D_151_1.pdb	7.961	3.651	56.773
3OR5A_177_1.pdb	1.600	2.763	57.526
3GL3D_114_1.pdb	10.024	5.216	54.843
3OR5A_132_1.pdb	2.434	5.709	60.298
2L57_062_1.pdb	2.064	2.750	79.316
3C71A_012_1.pdb	11.137	10.987	56.567
5UM7B_022_1.pdb	1.641	7.387	80.321
1LU4_166_1.pdb	2.145	0.503	76.993
2L57_027_1.pdb	3.702	1.759	75.492
3C71A_057_1.pdb	1.662	12.424	68.563
2LS5A_087_1.pdb	13.229	9.138	44.821
5UM7B_067_1.pdb	1.670	7.121	79.921
3U5RE_091_1.pdb	5.890	9.120	47.109
1LU4_123_1.pdb	1.307	0.899	62.847
2OKA_123_1.pdb	8.055	7.307	76.262
1KNGA_164_1.pdb	11.308	14.682	44.528
1KNGA_121_1.pdb	1.820	7.452	89.321
3W8J_157_1.pdb	3.717	3.876	70.165
3U5RE_029_1.pdb	4.406	10.074	49.090
3W8J_112_1.pdb	7.138	7.519	43.431
6MZA_106_1.pdb	0.758	0.463	81.527
6MZA_143_1.pdb	0.703	0.426	81.366
3IOSA_112_1.pdb	1.559	2.152	68.825
4NMUD_082_1.pdb	3.342	2.602	69.226
3IOSA_157_1.pdb	0.873	1.976	87.732
3U5RE_171_1.pdb	1.096	4.947	73.350
1LU4_086_1.pdb	2.010	0.653	74.146
3U5RE_134_1.pdb	2.337	9.444	56.757
1KNGA_079_1.pdb	2.753	5.093	63.307
2OKA_086_1.pdb	6.594	5.654	71.508
4EUY_047_1.pdb	5.351	5.272	87.524
2EC4_053_1.pdb	3.728	4.531	47.827
2EC4_016_1.pdb	3.679	4.500	40.606
4EUY_002_1.pdb	5.376	5.318	88.017
3OR5A_097_1.pdb	10.922	14.043	39.745
3GL3D_009_1.pdb	1.795	8.095	75.342
3KCMA_103_1.pdb	4.046	4.173	62.764
4NMUD_162_1.pdb	1.367	3.633	88.917
4NMUD_127_1.pdb	4.160	3.459	61.474
3KCMA_146_1.pdb	5.262	7.015	54.650
3GL5_046_1.pdb	10.366	11.555	80.395
3GL5_003_1.pdb	10.835	11.372	80.872
1KNGA_084_1.pdb	8.109	7.108	53.401
3KCMA_062_1.pdb	2.771	4.502	89.832
4NMUD_003_1.pdb	1.633	4.136	86.711
4NMUD_046_1.pdb	2.470	2.906	66.895
3KCMA_027_1.pdb	3.076	4.601	88.415
3GL3D_168_1.pdb	1.355	8.691	89.279
6MZA_187_1.pdb	0.743	0.513	79.663
3W8J_193_1.pdb	10.681	9.200	35.811
3GL5_127_1.pdb	10.195	11.460	82.043
3EMX_032_1.pdb	4.373	4.638	75.712
3GL5_162_1.pdb	10.502	11.613	82.007
1KNGA_118_1.pdb	3.205	9.093	56.378
3U5RE_010_1.pdb	1.254	5.411	79.963
2LS5A_006_1.pdb	4.701	8.921	66.184
3C71A_093_1.pdb	2.100	12.499	77.375
3U5RE_055_1.pdb	7.845	11.345	56.208
2LS5A_043_1.pdb	2.156	7.963	71.785
3PH9_026_1.pdb	7.290	8.158	70.493
4EUY_126_1.pdb	3.946	3.935	59.133
4EUY_163_1.pdb	3.992	3.908	49.463
3W8J_036_1.pdb	10.378	10.599	34.023
3U5RE_148_1.pdb	3.696	9.068	45.934
3W8J_073_1.pdb	4.692	4.832	71.836
1KNGA_005_1.pdb	10.571	6.048	50.106
3GL5_082_1.pdb	9.955	11.508	80.299
1KNGA_040_1.pdb	9.859	10.048	53.894
3IOSA_073_1.pdb	0.744	1.748	88.522
3IOSA_036_1.pdb	0.690	1.701	91.253
3KCMA_182_1.pdb	2.958	4.722	87.354
6MZA_067_1.pdb	0.738	0.465	82.506
3GL3D_088_1.pdb	5.837	3.488	50.567
6MZA_022_1.pdb	0.922	0.603	71.069
3GL3D_030_1.pdb	1.405	8.232	85.879
3OR5A_016_1.pdb	2.854	4.456	59.693
3GL3D_075_1.pdb	1.941	8.022	66.249
3OR5A_053_1.pdb	1.433	3.321	72.810
4EUY_083_1.pdb	5.366	5.302	87.352
2OKA_042_1.pdb	8.182	7.916	71.164
2OKA_007_1.pdb	6.328	6.059	74.573
1LU4_007_1.pdb	0.496	2.196	90.841
5UM7B_143_1.pdb	1.620	6.999	79.245
3C71A_136_1.pdb	1.888	12.950	73.841
1LU4_042_1.pdb	0.277	1.794	92.014
5UM7B_106_1.pdb	1.856	7.007	76.214
3GL3D_048_1.pdb	1.234	8.590	90.144
4NMUD_166_1.pdb	1.476	3.728	84.358
3KCMA_107_1.pdb	4.974	6.240	60.326
3KCMA_142_1.pdb	2.756	4.697	84.976
4NMUD_123_1.pdb	1.347	3.398	88.043
3GL5_042_1.pdb	10.156	11.561	81.037
3GL5_007_1.pdb	9.973	11.826	81.743
1KNGA_080_1.pdb	1.880	7.651	82.641
3U5RE_188_1.pdb	1.494	6.757	68.582
3U5RE_175_1.pdb	1.424	5.805	65.704
1LU4_082_1.pdb	0.475	1.597	90.670
3U5RE_130_1.pdb	3.217	8.292	56.745
2OKA_082_1.pdb	6.605	6.035	57.447
1KNGA_038_1.pdb	7.062	5.707	53.967
2EC4_057_1.pdb	3.801	4.507	41.159
4EUY_043_1.pdb	5.343	5.280	87.263
4EUY_006_1.pdb	5.399	5.340	88.484
2EC4_012_1.pdb	3.298	4.453	49.701
3OR5A_093_1.pdb	1.162	2.949	76.630
1KNGA_160_1.pdb	9.380	4.183	59.864
1KNGA_125_1.pdb	9.008	8.831	52.303
3U5RE_068_1.pdb	1.346	6.105	72.854
3W8J_153_1.pdb	4.171	4.195	62.756
3W8J_116_1.pdb	4.239	4.173	74.082
6MZA_102_1.pdb	0.631	0.431	80.728
6MZA_147_1.pdb	1.071	0.704	76.011
3IOSA_116_1.pdb	0.823	1.787	88.819
4NMUD_086_1.pdb	3.804	2.471	64.765
3IOSA_153_1.pdb	1.379	0.966	59.910
3GL3D_155_1.pdb	1.367	8.720	88.385
3OR5A_173_1.pdb	2.501	4.345	65.016
3GL3D_110_1.pdb	8.019	9.700	43.553
3OR5A_136_1.pdb	2.876	4.398	62.079
2L57_066_1.pdb	4.082	6.668	49.892
3C71A_016_1.pdb	15.250	7.922	64.126
5UM7B_026_1.pdb	1.628	7.683	76.414
1LU4_162_1.pdb	0.297	1.609	89.903
2L57_023_1.pdb	1.972	2.727	75.314
3C71A_053_1.pdb	12.321	9.458	50.061
2LS5A_083_1.pdb	4.175	10.369	58.736
5UM7B_063_1.pdb	1.613	7.224	79.336
3U5RE_095_1.pdb	5.152	8.860	50.032
1LU4_127_1.pdb	0.283	1.583	90.682
2OKA_127_1.pdb	8.107	7.619	65.141
2EC4_073_1.pdb	3.676	4.488	40.679
4EUY_067_1.pdb	5.305	5.260	85.627
4EUY_022_1.pdb	6.468	6.413	47.042
2EC4_036_1.pdb	3.447	4.337	39.557
3GL3D_091_1.pdb	2.092	8.845	67.953
3U5RE_151_1.pdb	4.969	11.964	55.072
3U5RE_114_1.pdb	1.693	5.993	69.705
1KNGA_059_1.pdb	2.649	8.215	67.938
3GL5_066_1.pdb	9.895	12.021	82.882
3GL5_023_1.pdb	10.327	11.615	79.731
3W8J_097_1.pdb	3.671	3.800	76.838
6MZA_083_1.pdb	0.660	0.456	79.851
3GL3D_029_1.pdb	1.391	8.768	87.580
4NMUD_142_1.pdb	1.911	3.892	82.185
3IOSA_097_1.pdb	0.728	1.785	91.867
3KCMA_123_1.pdb	4.634	5.397	59.422
3KCMA_166_1.pdb	2.805	4.501	87.473
4NMUD_107_1.pdb	1.352	3.206	83.714
2L57_042_1.pdb	2.369	5.140	57.147
3C71A_032_1.pdb	4.130	11.315	63.272
5UM7B_002_1.pdb	1.691	8.841	63.868
1LU4_146_1.pdb	0.223	1.840	94.019
2L57_007_1.pdb	1.994	2.809	76.302
3C71A_077_1.pdb	10.577	9.346	57.087
5UM7B_047_1.pdb	1.564	6.428	65.419
1LU4_103_1.pdb	0.376	1.676	89.940
2OKA_103_1.pdb	6.732	6.011	76.125
2OKA_146_1.pdb	7.214	6.610	73.848
3GL3D_171_1.pdb	7.637	5.659	63.370
3OR5A_157_1.pdb	5.838	4.908	63.777
3GL3D_134_1.pdb	8.435	7.184	40.626
3OR5A_112_1.pdb	1.282	3.213	79.681
6MZA_126_1.pdb	0.672	0.470	79.939
6MZA_163_1.pdb	0.892	0.667	73.286
3IOSA_132_1.pdb	1.387	2.272	81.001
3KCMA_086_1.pdb	2.927	4.452	90.600
1KNGA_144_1.pdb	4.613	6.274	57.949
3GL5_186_1.pdb	9.998	12.229	68.134
1KNGA_101_1.pdb	1.871	3.948	76.546
3W8J_177_1.pdb	5.083	4.438	71.596
3U5RE_009_1.pdb	1.313	5.642	77.829
3W8J_132_1.pdb	3.455	3.584	78.865
3PH9_047_1.pdb	8.178	8.816	47.926
3OR5A_197_1.pdb	0.960	2.826	79.560
3PH9_002_1.pdb	6.969	7.768	65.249
4EUY_102_1.pdb	6.224	6.191	83.274
4EUY_147_1.pdb	5.086	5.008	84.047
1KNGA_179_1.pdb	6.499	5.873	55.863
3U5RE_034_1.pdb	1.188	5.957	79.643
1LU4_186_1.pdb	0.405	1.737	91.796
2LS5A_022_1.pdb	2.725	5.534	60.446
3U5RE_071_1.pdb	1.808	6.847	69.207
2LS5A_067_1.pdb	2.484	9.492	61.829
5UM7B_087_1.pdb	1.643	7.106	73.690
1KNGA_184_1.pdb	6.280	4.047	50.744
3GL5_103_1.pdb	10.300	7.560	69.446
3EMX_016_1.pdb	3.519	2.207	70.918
3GL5_146_1.pdb	10.404	11.627	82.659
3KCMA_046_1.pdb	3.170	4.646	88.916
4NMUD_027_1.pdb	3.044	2.643	68.457
4NMUD_062_1.pdb	5.620	4.392	64.888
3KCMA_003_1.pdb	4.905	6.035	64.727
3GL3D_109_1.pdb	9.968	6.997	58.097
1KNGA_099_1.pdb	4.716	4.495	52.605
2OKA_066_1.pdb	8.098	7.497	78.327
2OKA_023_1.pdb	7.047	5.972	68.573
1LU4_023_1.pdb	0.266	1.749	93.134
3U5RE_191_1.pdb	1.788	6.825	64.106
3C71A_112_1.pdb	12.409	2.243	64.669
1LU4_066_1.pdb	0.657	1.819	89.724
5UM7B_122_1.pdb	1.650	6.163	73.210
3GL3D_014_1.pdb	6.373	4.656	46.659
3OR5A_032_1.pdb	1.331	2.794	65.504
3GL3D_051_1.pdb	9.118	5.730	59.750
3OR5A_077_1.pdb	9.323	8.735	51.401
3IOSA_057_1.pdb	0.749	1.558	91.628
3IOSA_012_1.pdb	0.711	1.803	88.596
6MZA_043_1.pdb	0.744	0.482	79.998
6MZA_006_1.pdb	0.708	0.463	83.573
3U5RE_129_1.pdb	1.344	5.259	72.169
3W8J_012_1.pdb	4.331	4.239	80.877
3W8J_057_1.pdb	10.077	9.525	49.749
1KNGA_021_1.pdb	4.524	4.787	58.625
1KNGA_064_1.pdb	2.799	7.613	58.984
3W8J_1.pdb	3.768	3.913	93.378
3KCMA_044_1.pdb	5.264	7.747	62.267
4NMUD_025_1.pdb	1.537	4.117	83.746
4NMUD_060_1.pdb	1.219	3.615	90.466
3KCMA_001_1.pdb	3.831	5.676	75.407
3OR5A_168_1.pdb	1.754	4.357	76.239
5UM7B_078_1.pdb	1.672	5.667	72.979
2LS5A_098_1.pdb	1.602	5.215	74.147
3C71A_048_1.pdb	9.955	14.342	59.458
2L57_038_1.pdb	2.345	3.033	64.573
1LU4_179_1.pdb	0.218	1.929	91.009
1KNGA_186_1.pdb	11.801	11.594	46.907
3GL5_101_1.pdb	9.794	12.193	88.388
3EMX_014_1.pdb	6.197	4.817	65.170
3GL5_144_1.pdb	10.032	11.976	82.093
1LU4_184_1.pdb	0.313	1.759	93.860
3U5RE_036_1.pdb	1.264	5.411	79.426
2LS5A_020_1.pdb	4.375	5.916	61.978
3W8J_148_1.pdb	4.796	5.329	45.442
3U5RE_073_1.pdb	1.891	7.708	62.515
2LS5A_065_1.pdb	2.359	8.154	50.971
5UM7B_085_1.pdb	1.610	7.229	81.218
3PH9_045_1.pdb	10.240	11.112	61.021
3OR5A_195_1.pdb	3.173	4.611	50.221
3PH9_000_1.pdb	8.618	9.372	84.544
6MZA_119_1.pdb	0.709	0.560	72.870
3IOSA_148_1.pdb	0.733	1.855	91.519
4EUY_100_1.pdb	6.594	6.519	55.445
4EUY_145_1.pdb	5.476	5.418	88.981
1LU4_099_1.pdb	0.921	4.644	68.099
3W8J_010_1.pdb	7.631	9.010	41.540
3W8J_055_1.pdb	3.540	3.504	68.195
1KNGA_023_1.pdb	4.066	6.242	54.921
2OKA_099_1.pdb	6.777	5.421	58.282
1KNGA_066_1.pdb	10.489	5.673	44.984
2EC4_009_1.pdb	3.687	4.481	37.527
3IOSA_055_1.pdb	2.020	1.199	56.095
4EUY_058_1.pdb	5.326	5.266	89.257
3IOSA_010_1.pdb	0.854	1.927	83.317
6MZA_041_1.pdb	0.765	0.517	83.301
3OR5A_088_1.pdb	4.973	4.118	49.520
6MZA_004_1.pdb	0.740	0.416	83.426
3GL3D_016_1.pdb	2.497	8.898	69.619
3OR5A_030_1.pdb	3.801	5.421	50.021
3GL3D_053_1.pdb	7.275	6.449	46.837
3OR5A_075_1.pdb	1.063	2.951	82.546
4NMUD_138_1.pdb	2.847	2.108	67.336
3KCMA_159_1.pdb	3.730	4.921	80.198
2OKA_064_1.pdb	6.261	5.949	75.674
3GL5_059_1.pdb	9.895	12.013	81.687
2OKA_021_1.pdb	8.249	7.445	82.587
3U5RE_193_1.pdb	4.226	10.488	42.241
1LU4_021_1.pdb	6.643	8.856	39.848
3C71A_110_1.pdb	3.131	12.800	58.780
1LU4_064_1.pdb	0.279	1.867	92.539
5UM7B_120_1.pdb	2.628	8.549	66.399
3OR5A_048_1.pdb	5.463	3.679	50.251
6MZA_081_1.pdb	0.699	0.468	80.072
3IOSA_095_1.pdb	1.593	1.362	60.530
4NMUD_140_1.pdb	3.660	4.414	70.067
3KCMA_121_1.pdb	3.007	5.038	75.834
3KCMA_164_1.pdb	3.908	4.467	73.149
4EUY_098_1.pdb	5.332	5.274	88.008
4NMUD_105_1.pdb	1.323	3.579	90.258
3GL5_064_1.pdb	10.149	11.735	82.165
2OKA_059_1.pdb	8.105	7.468	71.930
3GL5_021_1.pdb	10.144	11.980	83.929
1LU4_059_1.pdb	0.317	1.811	93.965
3W8J_095_1.pdb	10.107	10.684	43.052
3W8J_068_1.pdb	6.999	8.742	37.508
3U5RE_153_1.pdb	1.235	7.196	79.897
3U5RE_116_1.pdb	3.381	9.705	49.034
3GL5_099_1.pdb	9.954	11.835	83.871
2EC4_071_1.pdb	3.642	4.402	44.196
3KCMA_199_1.pdb	4.040	5.555	57.659
4EUY_065_1.pdb	5.307	5.238	83.107
3IOSA_068_1.pdb	0.870	1.866	88.727
4EUY_020_1.pdb	5.460	5.410	87.561
2EC4_034_1.pdb	3.709	4.498	41.386
6MZA_039_1.pdb	0.750	0.544	80.481
3GL3D_093_1.pdb	1.398	8.745	89.892
1KNGA_146_1.pdb	4.923	5.287	54.631
3GL5_184_1.pdb	9.988	11.740	78.243
1KNGA_103_1.pdb	1.895	7.501	75.168
2LS5A_058_1.pdb	1.421	5.994	79.252
3W8J_175_1.pdb	11.299	11.441	37.519
3C71A_088_1.pdb	12.429	6.621	70.193
3W8J_130_1.pdb	4.302	4.381	77.146
6MZA_124_1.pdb	0.793	0.456	80.340
6MZA_161_1.pdb	0.712	0.443	80.256
3IOSA_130_1.pdb	0.687	1.675	89.531
3KCMA_084_1.pdb	2.961	4.498	90.716
4NMUD_018_1.pdb	4.731	4.374	69.377
3KCMA_079_1.pdb	4.913	5.760	67.501
3GL3D_173_1.pdb	1.357	8.471	82.656
3OR5A_155_1.pdb	2.845	4.015	74.573
3GL3D_136_1.pdb	5.396	7.104	52.987
3OR5A_110_1.pdb	2.300	3.810	77.510
2L57_040_1.pdb	2.271	3.208	76.744
3C71A_030_1.pdb	1.261	12.593	91.017
5UM7B_000_1.pdb	1.688	7.628	80.780
1LU4_144_1.pdb	0.271	1.653	92.938
2L57_005_1.pdb	2.148	2.700	81.049
3W8J_188_1.pdb	8.933	8.851	42.129
3C71A_075_1.pdb	11.793	6.371	61.880
5UM7B_045_1.pdb	1.691	7.279	77.183
1LU4_101_1.pdb	0.842	1.897	84.797
3GL5_179_1.pdb	10.347	11.703	67.293
2OKA_101_1.pdb	6.700	6.074	76.538
3EMX_029_1.pdb	3.879	4.626	73.725
2OKA_144_1.pdb	6.440	6.184	47.166
2EC4_055_1.pdb	3.678	4.468	42.947
3IOSA_009_1.pdb	0.946	2.010	84.456
4EUY_041_1.pdb	5.378	5.319	88.061
4EUY_004_1.pdb	5.443	5.386	87.506
2EC4_010_1.pdb	3.624	4.422	45.101
3OR5A_091_1.pdb	0.852	2.959	81.077
6MZA_058_1.pdb	0.737	0.555	77.653
3U5RE_177_1.pdb	8.859	3.161	43.807
3W8J_009_1.pdb	4.380	4.227	80.767
3U5RE_132_1.pdb	4.102	7.479	49.570
1LU4_080_1.pdb	0.267	1.595	91.183
2OKA_080_1.pdb	7.186	6.063	82.027
2OKA_038_1.pdb	6.612	5.720	75.615
3GL5_040_1.pdb	9.857	12.155	86.884
3GL5_005_1.pdb	9.974	11.811	84.573
1KNGA_082_1.pdb	3.295	8.614	67.641
5UM7B_139_1.pdb	1.619	8.966	59.727
3C71A_109_1.pdb	9.076	15.435	44.962
1LU4_038_1.pdb	3.605	10.289	46.780
3OR5A_029_1.pdb	1.128	2.806	88.341
4NMUD_164_1.pdb	1.224	3.655	89.191
3KCMA_105_1.pdb	3.637	5.218	84.249
3KCMA_140_1.pdb	4.132	4.982	53.445
4NMUD_121_1.pdb	1.983	3.527	83.475
2L57_064_1.pdb	2.154	2.775	78.946
3C71A_014_1.pdb	12.018	8.857	62.835
5UM7B_024_1.pdb	1.523	5.913	74.041
1LU4_160_1.pdb	0.188	1.710	92.783
2L57_021_1.pdb	1.956	2.754	78.131
3C71A_051_1.pdb	12.553	8.191	48.068
2LS5A_081_1.pdb	5.370	9.699	56.102
5UM7B_061_1.pdb	1.650	7.180	80.623
1LU4_125_1.pdb	0.245	1.811	90.615
3U5RE_097_1.pdb	1.845	10.262	68.937
2OKA_125_1.pdb	6.321	5.918	76.587
3GL5_118_1.pdb	9.726	11.660	80.405
2OKA_160_1.pdb	6.334	5.866	75.193
3KCMA_018_1.pdb	2.980	4.686	88.325
4NMUD_079_1.pdb	1.535	3.792	82.477
3GL3D_157_1.pdb	11.040	7.494	58.119
3OR5A_171_1.pdb	1.203	2.747	73.929
3GL3D_112_1.pdb	1.358	8.821	77.895
3OR5A_134_1.pdb	1.100	2.884	65.533
6MZA_100_1.pdb	0.906	0.698	66.532
2L57_1.pdb	2.331	2.688	83.456
3PH9_019_1.pdb	6.969	7.687	67.823
6MZA_145_1.pdb	0.695	0.422	79.612
3IOSA_114_1.pdb	0.700	1.691	91.445
4EUY_119_1.pdb	5.487	5.420	89.431
3IOSA_151_1.pdb	0.876	1.859	84.186
4NMUD_084_1.pdb	1.484	4.300	82.438
1KNGA_162_1.pdb	6.182	5.120	55.148
1KNGA_127_1.pdb	6.826	4.539	62.515
3W8J_151_1.pdb	3.939	3.919	66.197
2LS5A_039_1.pdb	1.288	5.453	87.736
3W8J_114_1.pdb	4.026	4.513	77.101
6MZA_178_1.pdb	0.635	0.559	70.621
3PH9_024_1.pdb	8.556	9.308	74.401
4EUY_124_1.pdb	5.568	5.494	83.739
3IOSA_129_1.pdb	0.728	1.846	89.407
4EUY_161_1.pdb	4.526	4.504	49.942
3W8J_129_1.pdb	10.643	12.403	34.091
3U5RE_012_1.pdb	1.248	6.294	81.426
2LS5A_004_1.pdb	3.309	11.095	67.418
3C71A_091_1.pdb	12.850	9.654	45.284
3U5RE_057_1.pdb	1.548	6.846	64.746
2LS5A_041_1.pdb	2.892	8.071	72.169
1LU4_118_1.pdb	2.339	1.050	64.830
3W8J_191_1.pdb	3.712	3.740	56.983
5UM7B_019_1.pdb	1.622	7.158	79.655
3C71A_029_1.pdb	2.886	12.494	61.651
2L57_059_1.pdb	2.216	3.198	76.418
3GL5_125_1.pdb	9.965	11.845	82.998
3EMX_030_1.pdb	12.285	9.939	46.828
2OKA_118_1.pdb	6.340	6.007	75.757
3GL5_160_1.pdb	9.860	11.798	83.927
3KCMA_060_1.pdb	3.408	4.486	92.570
4NMUD_001_1.pdb	3.756	4.993	67.557
4NMUD_044_1.pdb	1.386	3.449	83.337
3KCMA_025_1.pdb	3.318	4.597	87.637
3OR5A_109_1.pdb	1.784	4.452	73.512
6MZA_185_1.pdb	0.960	0.728	68.978
3GL5_038_1.pdb	10.277	11.714	81.896
2OKA_040_1.pdb	6.335	5.926	76.609
2OKA_005_1.pdb	6.937	6.110	75.270
1LU4_005_1.pdb	0.207	1.878	92.533
5UM7B_141_1.pdb	1.732	5.922	71.862
3C71A_134_1.pdb	2.178	12.400	69.759
1LU4_040_1.pdb	0.297	1.761	92.406
5UM7B_104_1.pdb	1.711	5.904	71.684
3GL3D_032_1.pdb	9.051	5.756	54.413
3OR5A_014_1.pdb	10.053	10.459	43.074
6MZA_098_1.pdb	0.630	0.602	76.874
3GL3D_077_1.pdb	2.207	8.534	61.137
3OR5A_051_1.pdb	7.068	4.716	54.554
4EUY_081_1.pdb	5.240	5.182	84.357
3KCMA_138_1.pdb	5.249	3.310	68.711
4NMUD_159_1.pdb	1.300	3.858	83.402
4EUY_039_1.pdb	5.414	5.346	90.115
3IOSA_071_1.pdb	1.155	1.696	60.831
3IOSA_034_1.pdb	0.789	1.746	92.010
3KCMA_180_1.pdb	2.952	4.763	75.168
2EC4_068_1.pdb	3.684	4.339	50.439
6MZA_065_1.pdb	0.733	0.547	79.792
6MZA_020_1.pdb	0.749	0.506	80.467
3W8J_034_1.pdb	4.250	4.426	79.747
3W8J_071_1.pdb	11.751	11.958	34.823
1KNGA_007_1.pdb	5.290	5.161	60.120
3GL5_080_1.pdb	9.318	12.173	90.111
1KNGA_042_1.pdb	2.810	6.524	50.160
2LS5A_008_1.pdb	1.901	9.187	57.518
3W8J_125_1.pdb	11.394	11.296	36.923
3W8J_160_1.pdb	3.746	3.893	88.292
1KNGA_116_1.pdb	9.240	6.853	48.785
3GL5_191_1.pdb	10.158	11.613	77.091
1KNGA_153_1.pdb	10.358	10.286	44.659
3IOSA_160_1.pdb	1.521	0.958	59.314
4EUY_128_1.pdb	5.421	5.362	88.557
3IOSA_125_1.pdb	0.738	1.609	90.839
3KCMA_091_1.pdb	3.826	5.903	57.312
6MZA_174_1.pdb	2.770	2.893	37.007
6MZA_131_1.pdb	0.712	0.572	76.334
3PH9_028_1.pdb	10.430	11.023	52.452
3OR5A_105_1.pdb	1.087	2.769	87.080
3GL3D_123_1.pdb	1.536	8.855	78.951
6MZA_189_1.pdb	0.622	0.521	77.360
3OR5A_140_1.pdb	3.056	1.459	68.032
3GL3D_166_1.pdb	1.673	8.926	64.229
3KCMA_029_1.pdb	3.022	4.556	84.128
4NMUD_048_1.pdb	1.598	3.909	82.244
3GL5_129_1.pdb	10.041	11.697	83.180
2OKA_151_1.pdb	6.324	5.984	79.197
2OKA_114_1.pdb	6.411	6.084	75.412
3C71A_060_1.pdb	11.158	8.853	64.399
2L57_010_1.pdb	2.092	2.817	79.459
1LU4_114_1.pdb	1.473	0.397	71.195
5UM7B_050_1.pdb	1.645	7.164	79.098
3C71A_025_1.pdb	1.139	12.510	91.350
2L57_055_1.pdb	5.569	5.561	60.812
1LU4_151_1.pdb	0.619	1.967	90.354
5UM7B_015_1.pdb	12.785	5.544	47.462
3KCMA_171_1.pdb	5.720	6.272	69.921
4NMUD_110_1.pdb	1.700	4.019	78.157
4NMUD_155_1.pdb	5.106	4.823	54.909
3IOSA_080_1.pdb	0.719	1.746	91.850
3KCMA_134_1.pdb	5.036	6.124	60.243
3OR5A_018_1.pdb	2.960	4.204	68.129
6MZA_094_1.pdb	0.787	0.531	81.041
1LU4_009_1.pdb	6.085	8.575	47.040
3W8J_080_1.pdb	3.566	3.621	71.610
5UM7B_108_1.pdb	1.983	8.237	65.695
3GL5_034_1.pdb	10.270	11.583	85.021
2OKA_009_1.pdb	8.091	7.316	70.791
3GL5_071_1.pdb	9.489	11.761	85.457
3W8J_038_1.pdb	4.431	4.711	65.126
3U5RE_103_1.pdb	6.338	8.687	56.149
3U5RE_146_1.pdb	1.431	5.920	66.706
3GL3D_086_1.pdb	1.647	8.520	71.945
6MZA_069_1.pdb	0.737	0.499	79.127
4EUY_035_1.pdb	5.371	5.304	87.141
2EC4_021_1.pdb	3.790	4.480	38.735
2EC4_064_1.pdb	3.206	3.290	42.334
4EUY_070_1.pdb	5.327	5.268	87.763
3IOSA_038_1.pdb	0.806	1.878	89.157
1KNGA_073_1.pdb	7.755	4.115	50.641
1KNGA_036_1.pdb	13.163	12.653	35.844
3W8J_040_1.pdb	3.712	3.521	84.600
3W8J_005_1.pdb	6.957	10.225	34.783
6MZA_011_1.pdb	0.702	0.465	82.871
6MZA_054_1.pdb	0.932	0.671	61.709
3IOSA_005_1.pdb	0.882	2.327	85.440
2EC4_059_1.pdb	3.646	4.521	68.097
3IOSA_040_1.pdb	0.721	1.992	84.413
4EUY_008_1.pdb	5.397	5.318	87.961
3KCMA_109_1.pdb	3.700	5.306	73.710
4NMUD_168_1.pdb	2.671	3.436	65.088
3OR5A_060_1.pdb	2.372	2.148	65.200
3GL3D_046_1.pdb	1.637	8.492	79.015
3OR5A_025_1.pdb	2.552	4.560	62.011
3GL3D_003_1.pdb	5.991	6.562	44.523
3C71A_105_1.pdb	1.141	12.638	81.611
5UM7B_135_1.pdb	1.832	8.161	68.058
1LU4_071_1.pdb	0.176	1.862	94.440
1LU4_034_1.pdb	1.089	0.842	63.301
3U5RE_186_1.pdb	2.636	4.440	43.869
2OKA_034_1.pdb	6.354	6.021	75.869
3GL5_009_1.pdb	10.066	11.932	90.262
2OKA_071_1.pdb	7.069	5.907	68.827
3OR5A_138_1.pdb	3.156	4.079	47.563
4NMUD_075_1.pdb	1.407	3.515	84.752
3KCMA_014_1.pdb	5.039	5.465	60.328
3KCMA_051_1.pdb	3.812	5.102	74.048
4NMUD_030_1.pdb	1.387	3.647	90.108
3EMX_001_1.pdb	2.134	4.396	84.014
2OKA_129_1.pdb	6.962	5.958	75.918
3GL5_151_1.pdb	9.870	12.123	83.310
3GL5_114_1.pdb	10.578	11.318	69.607
1KNGA_193_1.pdb	13.983	13.628	49.570
